year,Totalapples,Discovery,WorcesterPearmain,Cox(andclones),EgremontRusset,Braeburn,Gala(andclones),Jonagold(andclones),Cameo,Jazz,Kanzi,Other dessert varieties,Spartan,Fiesta/RedPippin,Katy,Bramleys Seedling,Other culinary apples,Cider apples of which:,Bush cider apples,Traditional cider apples,Total plums,Victoria,Marjorie's Seedling,Other plums,Total other orchard fruit,Cherries,Other top fruit (incl. nuts)
1999,1709,577,294,4694,325,,757,400,,,,1276,299,186,,3427,263,4996,,,1367,788,164,415,748,591,157
2000,16500,484,283,4186,334,,828,353,,,,1194,286,163,,3561,234,5043,4024,1019,1213,659,170,384,590,459,131
2001,16983,420,207,3489,331,,719,257,,,,1209,257,133,,3100,241,7010,4657,2353,1072,543,152,377,700,473,227
2002,15110,339,196,3015,268,,663,201,,,,945,195,109,,2567,178,6738,4304,2434,947,493,148,306,579,428,151
2003,14346,264,147,2738,264,306,674,227,,,,729,142,,,2266,180,6551,4909,1642,1003,474,152,377,522,381,140
2004,13612,301,213,3144,308,194,669,231,,,,957,164,,,2266,139,5190,3605,1585,978,532,152,293,623,389,234
2007,13364,189,124,2128,277,271,740,204,,,,877,137,,,2168,115,6271,4590,1681,835,408,144,283,608,447,161
2009,13594,177,133,1798,293,304,878,316,36,83,144,724,,,133,1955,131,6624,,,869,420,153,296,649,478,171
2012,14468,157,115,1697,224,509,1312,283,41,117,96,847,,,129,1794,99,7178,,,841,378,161,302,791,609,182
 ####Cameo Jazz and Kanzi are new categories introduced in 2009####,,,,,,,,,,,,,,,,,,,,,,,,,,,
####Spartan have been included with' other dessert apples 'from 2009####,,,,,,,,,,,,,,,,,,,,,,,,,,,
####Fiesta/RedPippin have been included in 'other dessert apples 'from 2003####,,,,,,,,,,,,,,,,,,,,,,,,,,,
####Katy was included in 'other dessert apples 'until 2009####,,,,,,,,,,,,,,,,,,,,,,,,,,,
