id,outcode,latitude,longitude
1565,MK1,52.006042,-0.726102
1566,MK10,52.038708,-0.717943
1567,MK11,52.051048,-0.838194
1568,MK12,52.057767,-0.820093
1569,MK13,52.056028,-0.796945
1570,MK14,52.064174,-0.782128
1571,MK15,52.051214,-0.718167
1572,MK16,52.103982,-0.713042
1573,MK17,51.997976,-0.718025
1574,MK18,51.985593,-0.950963
1575,MK19,52.071511,-0.843227
1576,MK2,51.991505,-0.724342
1577,MK3,51.994067,-0.752453
1578,MK4,52.003753,-0.768654
1579,MK40,52.13717,-0.479912
1580,MK41,52.163786,-0.444731
1581,MK42,52.118664,-0.469618
1582,MK43,52.1155,-0.56655
1583,MK44,52.201139,-0.435438
1584,MK45,52.045799,-0.453286
1585,MK46,52.15748,-0.695984
1586,MK5,52.019583,-0.769548
1587,MK6,52.028502,-0.72832
1588,MK7,52.018159,-0.692361
1589,MK77,52.042089,-0.81887
1590,MK8,52.033262,-0.806771
1591,MK9,52.040574,-0.733722
